kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,468726278982,10,2024
1.01.03,PROGRAM PENGEMBANGAN KURIKULUM,106984400,10,2024
1.01.04,PROGRAM PENDIDIK DAN TENAGA KEPENDIDIKAN,1088135550,10,2024
1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,852421682810,10,2024
1.02.02,PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT ,73284767917,12,2024
1.02.03,PROGRAM PENINGKATAN KAPASITAS SUMBER DAYA MANUSIA KESEHATAN,559998700,12,2024
1.02.04,PROGRAM SEDIAAN FARMASI  ALAT KESEHATAN DAN MAKANAN MINUMAN,609999850,12,2024
1.02.05,PROGRAM PEMBERDAYAAN MASYARAKAT BIDANG KESEHATAN,600000350,12,2024
1.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,470197874174,12,2024
1.03.10,PROGRAM PENYELENGGARAAN JALAN,376822182045,13,2024
1.03.11,PROGRAM PENGEMBANGAN JASA KONSTRUKSI,1612829450,13,2024
1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1635354125,13,2024
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,45870122442,13,2024
1.03.02,PROGRAM PENGELOLAAN SUMBER DAYA AIR (SDA),165005199443,14,2024
1.03.03,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM,14810741375,14,2024
1.03.04,PROGRAM PENGEMBANGAN SISTEM DAN PENGELOLAAN PERSAMPAHAN REGIONAL,2218341850,14,2024
1.03.05,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM AIR LIMBAH,3206234506,14,2024
1.03.06,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE,14767032700,14,2024
1.03.08,PROGRAM PENATAAN BANGUNAN GEDUNG,277626738456,14,2024
1.03.09,PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA,10135342728,14,2024
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,42105518604,14,2024
1.04.02,PROGRAM PENGEMBANGAN PERUMAHAN,9309333216,15,2024
1.04.03,PROGRAM KAWASAN PERMUKIMAN,31637269946,15,2024
1.04.05,PROGRAM PENINGKATAN PRASARANA  SARANA DAN UTILITAS UMUM (PSU),46971152807,15,2024
1.04.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,15276066862,15,2024
2.10.04,PROGRAM PENYELESAIAN SENGKETA TANAH GARAPAN,117043200,15,2024
2.10.06,PROGRAM REDISTRIBUSI TANAH DAN GANTI KERUGIAN TANAH KELEBIHAN MAKSIMUM DAN TANAH ABSENTEE,148870200,15,2024
2.10.10,PROGRAM PENATAGUNAAN TANAH ,68304700,15,2024
1.05.02,PROGRAM PENINGKATAN KETENTERAMAN DAN KETERTIBAN UMUM,1126967850,47,2024
1.05.04,PROGRAM PENCEGAHAN  PENANGGULANGAN  PENYELAMATAN KEBAKARAN DAN PENYELAMATAN NON KEBAKARAN ,296611000,47,2024
1.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,15180683804,47,2024
1.05.03,PROGRAM PENANGGULANGAN BENCANA,61196850821,8,2024
1.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,14038670067,8,2024
1.06.02,PROGRAM PEMBERDAYAAN SOSIAL,596810000,16,2024
1.06.03,PROGRAM PENANGANAN WARGA NEGARA MIGRAN KORBAN TINDAK KEKERASAN,10000000,16,2024
1.06.04,PROGRAM REHABILITASI SOSIAL,4847937246,16,2024
1.06.05,PROGRAM PERLINDUNGAN DAN JAMINAN SOSIAL,13914283045,16,2024
1.06.06,PROGRAM PENANGANAN BENCANA,362912830,16,2024
1.06.07,PROGRAM PENGELOLAAN TAMAN MAKAM PAHLAWAN,126990000,16,2024
1.06.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,22648668572,16,2024
2.07.02,PROGRAM PERENCANAAN TENAGA KERJA,70000000,17,2024
2.07.03,PROGRAM PELATIHAN KERJA DAN PRODUKTIVITAS TENAGA KERJA,70000000,17,2024
2.07.04,PROGRAM PENEMPATAN TENAGA KERJA,1469454124,17,2024
2.07.05,PROGRAM HUBUNGAN INDUSTRIAL,10735535406,17,2024
2.07.06,PROGRAM PENGAWASAN KETENAGAKERJAAN,1096927850,17,2024
2.07.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1317029610,17,2024
3.32.02,PROGRAM Perencanaan KAWASAN TRANSMIGRASI,34286578608,17,2024
3.32.03,PROGRAM PEMBANGUNAN KAWASAN TRANSMIGRASI,902667475,17,2024
3.32.04,PROGRAM PENGEMBANGAN KAWASAN TRANSMIGRASI,309949350,17,2024
2.08.02,PROGRAM PENGARUSUTAMAAN GENDER DAN PEMBERDAYAAN PEREMPUAN,998984450,18,2024
2.08.03,PROGRAM PERLINDUNGAN PEREMPUAN,2455048750,18,2024
2.08.04,PROGRAM PENINGKATAN KUALITAS KELUARGA,300000000,18,2024
2.08.05,PROGRAM PENGELOLAAN SISTEM DATA GENDER DAN ANAK,583490750,18,2024
2.08.06,PROGRAM PEMENUHAN HAK ANAK (PHA),1016857400,18,2024
2.08.07,PROGRAM PERLINDUNGAN KHUSUS ANAK,12841463002,18,2024
