program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
274;5.01.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;5;5.000.000,00;2025
274;5.01.01.2.02;Administrasi Keuangan Perangkat Daerah;5;4.880.915.000,00;2025
274;5.01.01.2.05;Administrasi Kepegawaian Perangkat Daerah;5;170.000.000,00;2025
274;5.01.01.2.06;Administrasi Umum Perangkat Daerah;5;479.000.000,00;2025
274;5.01.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;5;415.000.000,00;2025
274;5.01.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;5;679.900.000,00;2025
274;5.01.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;5;126.000.000,00;2025
274;5.01.02.2.01;Penyusunan Perencanaan dan Pendanaan;5;300.000.000,00;2025
275;5.01.02.2.02;Analisis Data dan Informasi Pemerintahan Daerah Bidang Perencanaan Pembangunan Daerah;5;0;2025
275;5.01.02.2.03;Pengendalian, Evaluasi dan Pelaporan Bidang Perencanaan Pembangunan Daerah;5;0;2025
275;5.01.03.2.01;Koordinasi Perencanaan Bidang Pemerintahan dan Pembangunan Manusia;5;100.000.000,00;2025
275;5.01.03.2.02;Koordinasi Perencanaan Bidang Perekonomian dan SDA (Sumber Daya Alam);5;100.000.000,00;2025
275;5.01.03.2.03;Koordinasi Perencanaan Bidang Infrastruktur dan Kewilayahan;5;100.000.000,00;2025
275;5.05.02.2.01;Penelitian dan Pengembangan Bidang Penyelenggaraan Pemerintahan dan Pengkajian Peraturan;5;100.000.000,00;2025
275;5.05.02.2.02;Penelitian dan Pengembangan Bidang Sosial dan Kependudukan;5;400.000.000,00;2025
275;5.05.02.2.03;Penelitian dan Pengembangan Bidang Ekonomi dan Pembangunan;5;200.000.000,00;2025
275;5.05.02.2.04;Pengembangan Inovasi dan Teknologi;5;0;2025
