program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
;1.01.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;DIKBUD;5.000.000,00;2025
;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;DIKBUD;16.330.000.000,00;2025
;1.01.03.2.01;Penetapan Kurikulum Muatan Lokal Pendidikan Dasar;DIKBUD;100.000.000,00;2025
;1.01.02.2.02;Pengelolaan Pendidikan Sekolah Menengah Pertama;DIKBUD;6.330.000.000,00;2025
;1.01.04.2.01;Pemerataan Kuantitas dan Kualitas Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Dasar, PAUD, dan Pendidikan Nonformal/Kesetaraan;DIKBUD;525.000.000,00;2025
;1.01.06.2.01;Pembinaan, Pengembangan dan Perlindungan Bahasa dan Sastra yang Penuturannya dalam Daerah Kabupaten/Kota;DIKBUD;670.000.000,00;2025
;2.22.02.2.01;Pengelolaan Kebudayaan yang Masyarakat Pelakunya dalam Daerah Kabupaten/Kota;DIKBUD;130.000.000,00;2025
;2.22.04.2.01;Pembinaan Kesenian yang Masyarakat Pelakunya dalam Daerah Kabupaten/Kota;DIKBUD;0;2025
;2.22.04.2.01;Pembinaan Sejarah Lokal dalam 1 (Satu) Daerah Kabupaten/Kota;DIKBUD;0;2025
;2.22.05.2.01;Penetapan Cagar Budaya Peringkat Kabupaten/Kota;DIKBUD;300.000.000,00;2025
;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;DIKBUD;150.488.934.000,00;2025
;1.01.01.2.06;Administrasi Umum Perangkat Daerah;DIKBUD;247.583.050,00;2025
;1.01.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;DIKBUD;0;2025
;1.01.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;DIKBUD;1.438.219.700,00;2025
;1.01.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;DIKBUD;35.000.000,00;2025
;1.01.01.2.10;Pengelolaan Pendidikan Anak Usia Dini (PAUD);DIKBUD;6.085.000.000,00;2025
;1.01.02.2.04;Pengelolaan Pendidikan Nonformal/Kesetaraan;DIKBUD;550.000.000,00;2025
;2.22.02.2.02;Pelestarian Kesenian Tradisional yang Masyarakat Pelakunya dalam Daerah Kabupaten/Kota;DIKBUD;0;2025
;2.22.05.2.02;Pengelolaan Cagar Budaya Peringkat Kabupaten/Kota;DIKBUD;0;2025
