kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
644;5.01.01.2.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;5;5.000.000,00;2025
644;5.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;5;3.636.326.000,00;2025
645;5.01.01.2.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;5;1.244.589.000,00;2025
645;5.01.01.2.05.0002;Pengadaan Pakaian Dinas beserta Atribut Kelengkapannya;5;0;2025
645;5.01.01.2.05.0009;Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi;5;70.000.000,00;2025
645;5.01.01.2.05.0011;Bimbingan Teknis Implementasi Peraturan Perundang-Undangan;5;100.000.000,00;2025
646;5.01.01.2.06.0001;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor;5;20.000.000,00;2025
647;5.01.01.2.06.0002;Penyediaan Peralatan dan Perlengkapan Kantor;5;77.000.000,00;2025
648;5.01.01.2.06.0003;Penyediaan Peralatan Rumah Tangga;5;10.000.000,00;2025
648;5.01.01.2.06.0004;Penyediaan Bahan Logistik Kantor;5;140.000.000,00;2025
648;5.01.01.2.06.0005;Penyediaan Barang Cetakan dan Penggandaan;5;20.000.000,00;2025
649;5.01.01.2.06.0006;Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan;5;12.000.000,00;2025
649;5.01.01.2.06.0009;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;5;200.000.000,00;2025
649;5.01.01.2.07.0001;Pengadaan Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;5;50.000.000,00;2025
650;5.01.01.2.07.0002;Pengadaan Kendaraan Dinas Operasional atau Lapangan;5;0;2025
650;5.01.01.2.07.0005;Pengadaan Mebel;5;100.000.000,00;2025
650;5.01.01.2.07.0006;Pengadaan Peralatan dan Mesin Lainnya;5;265.000.000,00;2025
651;5.01.01.2.08.0001;Penyediaan Jasa Surat Menyurat;5;2.000.000,00;2025
651;5.01.01.2.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;5;137.000.000,00;2025
651;5.01.01.2.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;5;540.900.000,00;2025
651;5.01.01.2.09.0002;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak dan Perizinan Kendaraan Dinas Operasional atau Lapangan;5;100.000.000,00;2025
652;5.01.01.2.09.0006;Pemeliharaan Peralatan dan Mesin Lainnya;5;26.000.000,00;2025
652;5.01.02.2.01.0001;Analisis Kondisi Daerah, Permasalahan, dan Isu Strategis Pembangunan Daerah;5;0;2025
652;5.01.02.2.01.0002;Koordinasi Penelaahan Dokumen Perencanaan Pembangunan Daerah dengan Dokumen Kebijakan Lainnya;5;0;2025
652;5.01.02.2.01.0003;Pelaksanaan Konsultasi Publik;5;0;2025
