id,satuan_kerja_id,satuan_kerja_nama,lv0_jabatan_id,lv0_jabatan_nama,lv0_eselon_nm,lv1_unit_kerja_id,lv1_unit_kerja_nama,lv1_jabatan_id,lv1_jabatan_nama,lv1_eselon_nm,lv2_unit_kerja_id,lv2_unit_kerja_nama,lv2_jabatan_id,lv2_jabatan_nama,lv2_eselon_nm,lv3_unit_kerja_id,lv3_unit_kerja_nama,lv3_jabatan_id,lv3_jabatan_nama,lv3_eselon_nm,lv4_unit_kerja_id,lv4_unit_kerja_nama,lv4_jabatan_id,lv4_jabatan_nama,lv4_eselon_nm,lv5_unit_kerja_id,lv5_unit_kerja_nama,lv5_jabatan_id,lv5_jabatan_nama,lv5_eselon_nm,lv6_unit_kerja_id,lv6_unit_kerja_nama,lv6_jabatan_id,lv6_jabatan_nama,lv6_eselon_nm,lv7_unit_kerja_id,lv7_unit_kerja_nama,lv7_jabatan_id,lv7_jabatan_nama,lv7_eselon_nm,level,unit_kerja_kode,parent_id,jabatan_id,eselon_nm,kode_unit_kerja,eselon_id,jabatan_nama,unit_kerja_nama,gol_id_minimum,alamat,latitude,longitude,m_kabkot_id,nama_kota,unit_kerja_id_baru,status,unit_kerja_aktif_mulai,unit_kerja_aktif_selesai,kode_jabatan,created_at,updated_at
188,49,SEKRETARIAT DAERAH,34461,SEKRETARIS DAERAH,I.b,144,ASISTEN ADMINISTRASI UMUM,33353,ASISTEN ADMINISTRASI UMUM,II.a,175,BIRO ADMINISTRASI PIMPINAN,34480,KEPALA BIRO ADMINISTRASI PIMPINAN,II.b,184,BAGIAN PROTOKOL,34501,KEPALA BAGIAN PROTOKOL,III.a,188,SUB BAGIAN KEPROTOKOLAN,34504,KEPALA SUB BAGIAN KEPROTOKOLAN,IV.a,,,,,,,,,,,,,,,,4,,184,34504,IV.a,1.00E+11,41,KEPALA SUB BAGIAN KEPROTOKOLAN,SUB BAGIAN KEPROTOKOLAN,133,JL. SAM RATULANGI NO.101 PALU,,,,,,1,,,,,
190,2,BADAN KESATUAN BANGSA DAN POLITIK,33322,KEPALA BADAN KESATUAN BANGSA DAN POLITIK,II.a,22,SEKRETARIAT,33315,SEKRETARIS,III.a,23,SUB BAGIAN KEPEGAWAIAN DAN UMUM,33316,KEPALA SUB BAGIAN KEPEGAWAIAN DAN UMUM,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,22,33316,IV.a,1.03E+11,41,KEPALA SUB BAGIAN KEPEGAWAIAN DAN UMUM,SUB BAGIAN KEPEGAWAIAN DAN UMUM,133,JL. TANJUNG API NO. 7 PALU,,,,,,1,,,,,
191,25,DINAS PERHUBUNGAN,33482,KEPALA DINAS PERHUBUNGAN,II.a,427,SEKRETARIAT,33483,SEKRETARIS,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,25,33483,III.a,1.02E+11,31,SEKRETARIS,SEKRETARIAT,141,JL. R.A. KARTINI NO.35 PALU,,,,,,1,,,,,
192,47,SATUAN POLISI PAMONG PRAJA,33981,KEPALA SATUAN POLISI PAMONG PRAJA,II.a,254,BIDANG PERLINDUNGAN MASYARAKAT,33995,KEPALA BIDANG PERLINDUNGAN MASYARAKAT,III.a,255,SEKSI DATA DAN INFORMASI,33996,KEPALA SEKSI DATA DAN INFORMASI,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,254,33996,IV.a,1.04E+11,41,KEPALA SEKSI DATA DAN INFORMASI,SEKSI DATA DAN INFORMASI,133,JL. PRAMUKA NO.21 PALU,,,,,,1,,,,,
193,5,BADAN KEPEGAWAIAN DAERAH,24454,KEPALA BADAN KEPEGAWAIAN DAERAH,II.a,11,SEKRETARIAT,33300,SEKRETARIS,III.a,18,SUB BAGIAN UMUM DAN KEPEGAWAIAN,33302,KEPALA SUB BAGIAN UMUM DAN KEPEGAWAIAN,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,33302,IV.a,1.04E+11,41,KEPALA SUB BAGIAN UMUM DAN KEPEGAWAIAN,SUB BAGIAN UMUM DAN KEPEGAWAIAN,133,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,,,
194,36,DINAS ENERGI DAN SUMBER DAYA MINERAL,33744,KEPALA DINAS ENERGI DAN SUMBER DAYA MINERAL,II.a,642,UPT PELAYANAN TEKNIS LABORATORIUM,33926,KEPALA UPT PELAYANAN TEKNIS LABORATORIUM,III.b,644,SEKSI PELAYANAN PENGUJIAN,33928,KEPALA SEKSI PELAYANAN PENGUJIAN,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,642,33928,IV.a,1.02E+11,41,KEPALA SEKSI PELAYANAN PENGUJIAN,SEKSI PELAYANAN PENGUJIAN,133,JL. SAM RATULANGI NO.25 PALU,,,,,,1,,,,,
195,5,BADAN KEPEGAWAIAN DAERAH,24454,KEPALA BADAN KEPEGAWAIAN DAERAH,II.a,14,BIDANG MUTASI DAN PROMOSI,33306,KEPALA BIDANG MUTASI DAN PROMOSI,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,33306,III.a,1.04E+11,31,KEPALA BIDANG MUTASI DAN PROMOSI,BIDANG MUTASI DAN PROMOSI,141,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,,,
196,33,DINAS PERKEBUNAN DAN PETERNAKAN,37689,KEPALA DINAS PERKEBUNAN DAN PETERNAKAN,II.a,886,UPT VETERINER,36591,KEPALA UPT VETERINER,III.a,887,SEKSI PELAYANAN KESEHATAN HEWAN,36592,KEPALA SEKSI PELAYANAN KESEHATAN HEWAN,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,886,36592,IV.a,1.03E+11,41,KEPALA SEKSI PELAYANAN KESEHATAN HEWAN,SEKSI PELAYANAN KESEHATAN HEWAN,133,JL. R.A. KARTINI NO.25 & 31 PALU,,,,,,1,,,,,
197,5,BADAN KEPEGAWAIAN DAERAH,24454,KEPALA BADAN KEPEGAWAIAN DAERAH,II.a,15,BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN,33307,KEPALA BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,33307,III.a,1.04E+11,31,KEPALA BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN,BIDANG PENILAIAN KINERJA APARATUR DAN PENGHARGAAN,141,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,,,
198,2,BADAN KESATUAN BANGSA DAN POLITIK,33322,KEPALA BADAN KESATUAN BANGSA DAN POLITIK,II.a,22,SEKRETARIAT,33315,SEKRETARIS,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,33315,III.a,1.03E+11,31,SEKRETARIS,SEKRETARIAT,141,JL. TANJUNG API NO. 7 PALU,,,,,,1,,,,,
199,36,DINAS ENERGI DAN SUMBER DAYA MINERAL,33744,KEPALA DINAS ENERGI DAN SUMBER DAYA MINERAL,II.a,646,CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I,33930,KEPALA CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I,III.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cabang,36,33930,III.b,1.02E+11,32,KEPALA CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I,CABANG DINAS ENERGI DAN SUMBER DAYA MINERAL WILAYAH I,134,JL. SAM RATULANGI NO.25 PALU,,,,,,1,,,,,
200,2,BADAN KESATUAN BANGSA DAN POLITIK,33322,KEPALA BADAN KESATUAN BANGSA DAN POLITIK,II.a,22,SEKRETARIAT,33315,SEKRETARIS,III.a,24,SUB BAGIAN KEUANGAN DAN ASET,33317,KEPALA SUB BAGIAN KEUANGAN DAN ASET,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,22,33317,IV.a,1.03E+11,41,KEPALA SUB BAGIAN KEUANGAN DAN ASET,SUB BAGIAN KEUANGAN DAN ASET,133,JL. TANJUNG API NO. 7 PALU,,,,,,1,,,,,
201,5,BADAN KEPEGAWAIAN DAERAH,24454,KEPALA BADAN KEPEGAWAIAN DAERAH,II.a,11,SEKRETARIAT,33300,SEKRETARIS,III.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,33300,III.a,1.04E+11,31,SEKRETARIS,SEKRETARIAT,141,"JL. DR. SAM RATULANGI, NO. 63, PALU",,,,,,1,,,,,
202,14,DINAS CIPTA KARYA DAN SUMBER DAYA AIR,33805,KEPALA DINAS CIPTA KARYA DAN SUMBER DAYA AIR,II.a,682,UPT SISTEM PENGELOLAAN AIR MINUM DAERAH,33837,KEPALA UPT SISTEM PENGELOLAAN AIR MINUM DAERAH,III.b,685,SEKSI PELAYANAN TEKNIS,33841,KEPALA SEKSI PELAYANAN TEKNIS,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,682,33841,IV.a,1.01E+11,41,KEPALA SEKSI PELAYANAN TEKNIS,SEKSI PELAYANAN TEKNIS,133,JL. PROF. MOH. YAMIN NO.33 PALU,,,,,,1,,,,,
203,9,BADAN PENGHUBUNG,34016,SEKRETARIS DEWAN PERWAKILAN RAKYAT DAERAH,II.a,269,SUB BIDANG PROMOSI DAN INFORMASI DAERAH,33568,KEPALA SUB BIDANG PROMOSI DAN INFORMASI DAERAH,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,33568,IV.a,1.04E+11,41,KEPALA SUB BIDANG PROMOSI DAN INFORMASI DAERAH,SUB BIDANG PROMOSI DAN INFORMASI DAERAH,133,JL. BELAWAN NO. 15 JAKARTA,,,,,,1,,,,,
204,14,DINAS CIPTA KARYA DAN SUMBER DAYA AIR,33805,KEPALA DINAS CIPTA KARYA DAN SUMBER DAYA AIR,II.a,670,BIDANG AIR MINUM DAN PENYEHATAN LINGKUNGAN PERMUKIMAN,33810,KEPALA BIDANG AIR MINUM DAN PENYEHATAN LINGKUNGAN PERMUKIMAN,III.a,672,SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN,33812,KEPALA SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN,IV.a,,,,,,,,,,,,,,,,,,,,,,,,,,2,,670,33812,IV.a,1.01E+11,41,KEPALA SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN,SEKSI PENYEHATAN LINGKUNGAN PERMUKIMAN,133,JL. PROF. MOH. YAMIN NO.33 PALU,,,,,,1,,,,,
