kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
1345;4.01.01.1.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;43;1087230000;2025
1346;4.01.01.1.05.0002;Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya;43;48546204;2025
1347;4.01.01.1.06.0002;Penyediaan Peralatan dan Perlengkapan Kantor;43;126590350;2025
1347;4.01.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;43;43124000;2025
1348;4.01.01.1.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;43;98075000;2025
1348;4.01.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;43;660407350;2025
1349;4.01.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;43;818000000;2025
1350;4.01.01.1.11.0001;Penyediaan Gaji dan Tunjangan Kepala Daerah dan Wakil Kepala Daerah;43;240777917;2025
1350;4.01.01.1.11.0002;Penyediaan Pakaian Dinas dan Atribut Kelengkapan Kepala Daerah dan Wakil Kepala Daerah;43;81178948;2025
1350;4.01.01.1.11.0003;Pelaksanaan Medical Check Up Kepala Daerah dan Wakil Kepala Daerah;43;100000000;2025
1350;4.01.01.1.11.0004;Penyediaan Dana Penunjang Operasional Kepala Daerah dan Wakil Kepala Daerah;43;3012679288;2025
1351;4.01.01.1.12.0001;Penyediaan Kebutuhan Rumah Tangga Kepala Daerah;43;1144388451;2025
1352;4.01.01.1.13.0002;Fasilitasi Komunikasi Pimpinan;43;2873796000;2025
1353;4.01.01.1.05.0011;Bimbingan Teknis Implementasi Peraturan Perundang-Undangan;43;0;2025
1354;4.01.01.1.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;43;71640000;2025
1355;4.01.01.1.05.0002;Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya;43;160839000;2025
1356;4.01.01.1.06.0002;Penyediaan Peralatan dan Perlengkapan Kantor;43;148479420;2025
1356;4.01.01.1.06.0008;Fasilitasi Kunjungan Tamu;43;965391363;2025
1357;4.01.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;43;933185000;2025
1358;4.01.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;43;900000000;2025
1359;4.01.01.1.12.0003;Penyediaan Kebutuhan Rumah Tangga Sekretariat Daerah;43;148425350;2025
1360;4.01.01.1.13.0002;Fasilitasi Komunikasi Pimpinan;43;3672040000;2025
1361;4.01.01.1.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;43;516720000;2025
1362;4.01.01.1.05.0002;Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya;43;56308036;2025
1363;4.01.01.1.06.0002;Penyediaan Peralatan dan Perlengkapan Kantor;43;61951800;2025
1363;4.01.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;43;26921300;2025
1364;4.01.01.1.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;43;51700000;2025
1364;4.01.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;43;28000000;2025
1365;4.01.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;43;570000000;2025
1366;4.01.01.1.11.0002;Penyediaan Pakaian Dinas dan Atribut Kelengkapan Kepala Daerah dan Wakil Kepala Daerah;43;56339789;2025
1366;4.01.01.1.11.0003;Pelaksanaan Medical Check Up Kepala Daerah dan Wakil Kepala Daerah;43;250000000;2025
1367;4.01.01.1.12.0002;Penyediaan Kebutuhan Rumah Tangga Wakil Kepala Daerah;43;1085059075;2025
1368;4.01.01.1.13.0002;Fasilitasi Komunikasi Pimpinan;43;1916000000;2025
1369;4.01.01.1.14.0002;Fasilitasi Kunjungan Tamu Kepala Daerah dan Wakil Kepala Daerah;43;381000000;2025
