kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
1;5.04.01.1.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;6;708545400;2025
1;5.04.01.1.01.0006;Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD;6;102313750;2025
1;5.04.01.1.01.0007;Evaluasi Kinerja Perangkat Daerah;6;136788900;2025
2;5.04.01.1.02.0001;Penyediaan Gaji dan Tunjangan ASN;6;11194033758;2025
2;5.04.01.1.02.0002;Penyediaan Administrasi Pelaksanaan Tugas ASN;6;1550284000;2025
2;5.04.01.1.02.0003;Pelaksanaan Penatausahaan dan Pengujian/Verifikasi Keuangan SKPD;6;98524750;2025
2;5.04.01.1.02.0006;Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan;6;42375000;2025
2;5.04.01.1.02.0008;Penyusunan Pelaporan dan Analisis Prognosis Realisasi Anggaran;6;31060000;2025
3;5.04.01.1.03.0006;Penatausahaan Barang Milik Daerah pada SKPD;6;84244600;2025
4;5.04.01.1.05.0009;Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi;6;251360000;2025
5;5.04.01.1.06.0001;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor;6;80235751;2025
5;5.04.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;6;39990275;2025
5;5.04.01.1.06.0006;Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan;6;9600000;2025
5;5.04.01.1.06.0009;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;6;318041000;2025
6;5.04.01.1.07.0006;Pengadaan Peralatan dan Mesin Lainnya;6;400794190;2025
7;5.04.01.1.08.0002;Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik;6;1228320948;2025
7;5.04.01.1.08.0004;Penyediaan Jasa Pelayanan Umum Kantor;6;388689924;2025
8;5.04.01.1.09.0001;Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan;6;333500000;2025
8;5.04.01.1.09.0006;Pemeliharaan Peralatan dan Mesin Lainnya;6;151670000;2025
8;5.04.01.1.09.0010;Pemeliharaan/Rehabilitasi Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya;6;518999483;2025
9;5.04.02.1.01.0003;Penyelenggaraan Pengembangan Kompetensi Teknis Umum, Inti, dan Pilihan bagi Jabatan Administrasi Penyelenggara Urusan Pemerintahan Konkuren, Perangkat Daerah Penunjang, dan Urusan Pemerintahan Umum;6;1497982700;2025
9;5.04.02.1.01.0004;Pembinaan, Pengoordinasian, Fasilitasi, Pemantauan, Evaluasi, dan Pelaporan Pengembangan Kompetensi Teknisumum, Inti, dan Pilihan bagi Jabatan Administrasi Penyelenggara Urusan Pemerintahan Konkuren, Perangkat Daerah Penunjang, dan Urusan Pemerintahan Umum;6;327299900;2025
10;5.04.02.1.02.0001;Penyusunan Kebijakan Teknis dan Rencana Sertifikasi Kompetensi, Pengelolaan Kelembagaan, Tenaga Pengembang Kompetensi, Sumber Belajar, Kerjasama, Pengembangan Kompetensi Pimpinan Daerah, Jabatan Pimpinan Tinggi, Kepemimpinan dan Prajabatan, serta Jabatan Fungsional;6;353741150;2025
10;5.04.02.1.02.0002;Pengelolaan Lembaga Sertifikasi Penyelenggara Pemerintahan Dalam Negeri Provinsi;6;72442550;2025
10;5.04.02.1.02.0003;Pelaksanaan Sertifikasi Kompetensi di Lingkungan Pemerintah Provinsi dan Kabupaten/Kota;6;213948700;2025
10;5.04.02.1.02.0004;Pengelolaan Kelembagaan, Tenaga Pengembang Kompetensi, dan Sumber Belajar;6;298607200;2025
10;5.04.02.1.02.0005;Pelaksanaan Kerja Sama Antar Lembaga;6;98525950;2025
10;5.04.02.1.02.0006;Penyusunan Standar Perangkat Pembelajaran Pemerintahan Dalam Negeri bagi Pimpinan Daerah, Jabatan Pimpinan Tinggi, dan Jabatan Fungsional;6;76747000;2025
10;5.04.02.1.02.0007;Penyelenggaraan Pengembangan Kompetensi bagi Pimpinan Daerah, Jabatan Pimpinan Tinggi, Jabatan Fungsional, Kepemimpinan, dan Prajabatan;6;5000000122;2025
10;5.04.02.1.02.0008;Pembinaan, Pengoordinasian, Fasilitasi, Pemantauan, Evaluasi, dan Pelaporan Pelaksanaan Sertifikasi, Pengelolaan Kelembagaan dan Tenaga Pengembang Kompetensi, Pengelolaan Sumber Belajar, dan Kerja Sama, serta Pengembangan Kompetensi Pimpinan Daerah, Jabatan Pimpinan Tinggi, Kepemimpinan, dan Prajabatan;6;255529700;2025
