program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
597;5.03.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;5;278000000;2026
597;5.03.01.1.02;Administrasi Keuangan Perangkat Daerah;5;12055875709;2026
597;5.03.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;5;25000000;2026
597;5.03.01.1.05;Administrasi Kepegawaian Perangkat Daerah;5;15000000;2026
597;5.03.01.1.06;Administrasi Umum Perangkat Daerah;5;490000000;2026
597;5.03.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;5;50000000;2026
597;5.03.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;5;1110000000;2026
597;5.03.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;5;635000000;2026
598;5.03.02.1.01;Pengadaan, Pemberhentian dan Informasi Kepegawaian ASN;5;920000000;2026
598;5.03.02.1.02;Mutasi dan Promosi ASN;5;740000000;2026
598;5.03.02.1.03;Pengembangan Kompetensi ASN;5;995000000;2026
598;5.03.02.1.04;Penilaian dan Evaluasi Kinerja Aparatur;5;365000000;2026
599;8.01.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;163301700;2026
599;8.01.01.1.02;Administrasi Keuangan Perangkat Daerah;2;8212679256;2026
599;8.01.01.1.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;2;109744400;2026
599;8.01.01.1.05;Administrasi Kepegawaian Perangkat Daerah;2;64253750;2026
599;8.01.01.1.06;Administrasi Umum Perangkat Daerah;2;535919300;2026
599;8.01.01.1.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;21619320;2026
599;8.01.01.1.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;282213033;2026
599;8.01.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;732859000;2026
600;8.01.02.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ideologi Pancasila dan Karakter Kebangsaan;2;1599054025;2026
601;8.01.03.1.01;Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik;2;2004942350;2026
