kegiatan_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
1370;5.03.01.1.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;5;80000000;2026
1370;5.03.01.1.01.0002;Koordinasi dan Penyusunan Dokumen RKA- SKPD;5;15000000;2026
1370;5.03.01.1.01.0003;Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD;5;5000000;2026
1370;5.03.01.1.01.0004;Koordinasi dan Penyusunan DPA-SKPD;5;8000000;2026
1370;5.03.01.1.01.0005;Koordinasi dan Penyusunan Perubahan DPA- SKPD;5;5000000;2026
1370;5.03.01.1.01.0006;Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD;5;10000000;2026
1370;5.03.01.1.01.0007;Evaluasi Kinerja Perangkat Daerah;5;25000000;2026
1370;5.03.01.1.01.0008;Pelaksanaan Pengumpulan Data Statistik Sektoral Daerah;5;15000000;2026
1370;5.03.01.1.01.0009;Pelaksanaan Forum Perangkat Daerah Berdasarkan Bidang Urusan yang Diampu dalam Rangka Penyusunan Dokumen Perencanaan Perangkat Daerah;5;95000000;2026
1370;5.03.01.1.01.0010;Penyelenggaraan Walidata Pendukung Statistik Sektoral Daerah;5;20000000;2026
1371;5.03.01.1.02.0001;Penyediaan Gaji dan Tunjangan ASN;5;11678875709;2026
1371;5.03.01.1.02.0003;Pelaksanaan Penatausahaan dan Pengujian/Verifikasi Keuangan SKPD;5;340000000;2026
1371;5.03.01.1.02.0005;Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD;5;27000000;2026
1371;5.03.01.1.02.0006;Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan;5;10000000;2026
1372;5.03.01.1.03.0001;Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD;5;5000000;2026
1372;5.03.01.1.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;5;5000000;2026
1372;5.03.01.1.03.0006;Penatausahaan Barang Milik Daerah pada SKPD;5;15000000;2026
1373;5.03.01.1.05.0005;Monitoring, Evaluasi, dan Penilaian Kinerja Pegawai;5;5000000;2026
1373;5.03.01.1.05.0011;Bimbingan Teknis Implementasi Peraturan Perundang-Undangan;5;10000000;2026
1374;5.03.01.1.06.0001;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor;5;15000000;2026
1374;5.03.01.1.06.0003;Penyediaan Peralatan Rumah Tangga;5;20000000;2026
1374;5.03.01.1.06.0005;Penyediaan Barang Cetakan dan Penggandaan;5;210000000;2026
1374;5.03.01.1.06.0009;Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD;5;230000000;2026
